index,query,latency_ms,hit
141,家庭支出清单,16,True
142,国家电网电费多少钱,15,True
143,最近的家庭支出记录,15,True
144,话费账单明细,16,True
145,2026年4月水电燃气支出,30,True
146,物业费是多少,16,True
147,燃气费账单,14,True
148,家庭月度开销汇总,16,True
149,电费和水费记录,15,True
150,水电燃气方面花了多少钱,15,True
151,家庭支出清单,16,True
152,国家电网电费多少钱,15,True
153,最近的家庭支出记录,15,True
154,话费账单明细,16,True
155,2026年4月水电燃气支出,30,True
156,物业费是多少,15,True
157,燃气费账单,15,True
158,家庭月度开销汇总,16,True
159,电费和水费记录,15,True
160,水电燃气方面花了多少钱,15,True
161,家庭支出清单,16,True
162,国家电网电费多少钱,14,True
163,最近的家庭支出记录,16,True
164,话费账单明细,15,True
165,2026年4月水电燃气支出,15,True
166,物业费是多少,16,True
167,燃气费账单,30,True
168,家庭月度开销汇总,16,True
169,电费和水费记录,14,True
170,水电燃气方面花了多少钱,16,True
171,家庭支出清单,15,True
172,国家电网电费多少钱,15,True
173,最近的家庭支出记录,16,True
174,话费账单明细,15,True
175,2026年4月水电燃气支出,31,True
176,物业费是多少,14,True
177,燃气费账单,16,True
178,家庭月度开销汇总,15,True
179,电费和水费记录,15,True
180,水电燃气方面花了多少钱,16,True
181,家庭支出清单,15,True
182,国家电网电费多少钱,31,True
183,最近的家庭支出记录,14,True
184,话费账单明细,16,True
185,2026年4月水电燃气支出,15,True
186,物业费是多少,15,True
187,燃气费账单,16,True
188,家庭月度开销汇总,15,True
189,电费和水费记录,15,True
190,水电燃气方面花了多少钱,30,True
191,家庭支出清单,16,True
192,国家电网电费多少钱,15,True
193,最近的家庭支出记录,15,True
194,话费账单明细,16,True
195,2026年4月水电燃气支出,15,True
196,物业费是多少,15,True
197,燃气费账单,16,True
198,家庭月度开销汇总,14,True
199,电费和水费记录,16,True
200,水电燃气方面花了多少钱,15,True
201,家庭支出清单,16,True
202,国家电网电费多少钱,15,True
203,最近的家庭支出记录,15,True
204,话费账单明细,16,True
205,2026年4月水电燃气支出,14,True
206,物业费是多少,16,True
207,燃气费账单,15,True
208,家庭月度开销汇总,15,True
209,电费和水费记录,31,True
210,水电燃气方面花了多少钱,15,True
211,家庭支出清单,0,True
212,国家电网电费多少钱,30,True
213,最近的家庭支出记录,16,True
214,话费账单明细,15,True
215,2026年4月水电燃气支出,15,True
216,物业费是多少,16,True
217,燃气费账单,15,True
218,家庭月度开销汇总,15,True
219,电费和水费记录,16,True
220,水电燃气方面花了多少钱,14,True
221,家庭支出清单,16,True
222,国家电网电费多少钱,15,True
223,最近的家庭支出记录,15,True
224,话费账单明细,16,True
225,2026年4月水电燃气支出,30,True
226,物业费是多少,16,True
227,燃气费账单,14,True
228,家庭月度开销汇总,16,True
229,电费和水费记录,15,True
230,水电燃气方面花了多少钱,15,True
231,家庭支出清单,16,True
232,国家电网电费多少钱,15,True
233,最近的家庭支出记录,15,True
234,话费账单明细,16,True
235,2026年4月水电燃气支出,30,True
236,物业费是多少,15,True
237,燃气费账单,15,True
238,家庭月度开销汇总,16,True
239,电费和水费记录,15,True
240,水电燃气方面花了多少钱,15,True
241,家庭支出清单,16,True
242,国家电网电费多少钱,14,True
243,最近的家庭支出记录,16,True
244,话费账单明细,15,True
245,2026年4月水电燃气支出,15,True
246,物业费是多少,16,True
247,燃气费账单,15,True
248,家庭月度开销汇总,15,True
249,电费和水费记录,16,True
250,水电燃气方面花了多少钱,30,True
251,家庭支出清单,15,True
252,国家电网电费多少钱,15,True
253,最近的家庭支出记录,16,True
254,话费账单明细,15,True
255,2026年4月水电燃气支出,15,True
256,物业费是多少,16,True
257,燃气费账单,14,True
258,家庭月度开销汇总,31,True
259,电费和水费记录,15,True
260,水电燃气方面花了多少钱,16,True
261,家庭支出清单,15,True
262,国家电网电费多少钱,15,True
263,最近的家庭支出记录,16,True
264,话费账单明细,14,True
265,2026年4月水电燃气支出,16,True
266,物业费是多少,15,True
267,燃气费账单,15,True
268,家庭月度开销汇总,31,True
269,电费和水费记录,15,True
270,水电燃气方面花了多少钱,16,True
271,家庭支出清单,14,True
272,国家电网电费多少钱,16,True
273,最近的家庭支出记录,15,True
274,话费账单明细,15,True
275,2026年4月水电燃气支出,16,True
276,物业费是多少,15,True
277,燃气费账单,15,True
278,家庭月度开销汇总,30,True
279,电费和水费记录,16,True
280,水电燃气方面花了多少钱,15,True
281,家庭支出清单,15,True
282,国家电网电费多少钱,16,True
283,最近的家庭支出记录,15,True
284,话费账单明细,15,True
285,2026年4月水电燃气支出,16,True
286,物业费是多少,14,True
287,燃气费账单,31,True
288,家庭月度开销汇总,15,True
289,电费和水费记录,16,True
290,水电燃气方面花了多少钱,15,True
291,家庭支出清单,15,True
292,国家电网电费多少钱,16,True
293,最近的家庭支出记录,30,True
294,话费账单明细,15,True
295,2026年4月水电燃气支出,15,True
296,物业费是多少,16,True
297,燃气费账单,15,True
298,家庭月度开销汇总,15,True
299,电费和水费记录,16,True
300,水电燃气方面花了多少钱,14,True
301,家庭支出清单,16,True
302,国家电网电费多少钱,15,True
303,最近的家庭支出记录,31,True
304,话费账单明细,0,True
305,2026年4月水电燃气支出,30,True
306,物业费是多少,16,True
307,燃气费账单,14,True
308,家庭月度开销汇总,16,True
309,电费和水费记录,15,True
310,水电燃气方面花了多少钱,15,True
311,家庭支出清单,31,True
312,国家电网电费多少钱,15,True
313,最近的家庭支出记录,16,True
314,话费账单明细,14,True
315,2026年4月水电燃气支出,16,True
316,物业费是多少,15,True
317,燃气费账单,15,True
318,家庭月度开销汇总,16,True
319,电费和水费记录,15,True
320,水电燃气方面花了多少钱,31,True
321,家庭支出清单,14,True
322,国家电网电费多少钱,16,True
323,最近的家庭支出记录,15,True
324,话费账单明细,15,True
325,2026年4月水电燃气支出,16,True
326,物业费是多少,15,True
327,燃气费账单,15,True
328,家庭月度开销汇总,30,True
329,电费和水费记录,16,True
330,水电燃气方面花了多少钱,15,True
331,家庭支出清单,15,True
332,国家电网电费多少钱,16,True
333,最近的家庭支出记录,15,True
334,话费账单明细,15,True
335,2026年4月水电燃气支出,16,True
336,物业费是多少,14,True
337,燃气费账单,16,True
338,家庭月度开销汇总,15,True
339,电费和水费记录,15,True
340,水电燃气方面花了多少钱,16,True
341,家庭支出清单,30,True
342,国家电网电费多少钱,16,True
343,最近的家庭支出记录,14,True
344,话费账单明细,16,True
345,2026年4月水电燃气支出,15,True
346,物业费是多少,15,True
347,燃气费账单,16,True
348,家庭月度开销汇总,15,True
349,电费和水费记录,15,True
350,水电燃气方面花了多少钱,16,True
351,家庭支出清单,14,True
352,国家电网电费多少钱,16,True
353,最近的家庭支出记录,15,True
354,话费账单明细,15,True
355,2026年4月水电燃气支出,31,True
356,物业费是多少,15,True
357,燃气费账单,16,True
358,家庭月度开销汇总,14,True
359,电费和水费记录,16,True
360,水电燃气方面花了多少钱,15,True
361,家庭支出清单,15,True
362,国家电网电费多少钱,31,True
363,最近的家庭支出记录,15,True
364,话费账单明细,16,True
365,2026年4月水电燃气支出,14,True
366,物业费是多少,16,True
367,燃气费账单,15,True
368,家庭月度开销汇总,15,True
369,电费和水费记录,31,True
370,水电燃气方面花了多少钱,15,True
371,家庭支出清单,16,True
372,国家电网电费多少钱,14,True
373,最近的家庭支出记录,16,True
374,话费账单明细,15,True
375,2026年4月水电燃气支出,15,True
376,物业费是多少,16,True
377,燃气费账单,15,True
378,家庭月度开销汇总,31,True
379,电费和水费记录,14,True
380,水电燃气方面花了多少钱,16,True
381,家庭支出清单,15,True
382,国家电网电费多少钱,15,True
383,最近的家庭支出记录,16,True
384,话费账单明细,15,True
385,2026年4月水电燃气支出,15,True
386,物业费是多少,16,True
387,燃气费账单,14,True
388,家庭月度开销汇总,16,True
389,电费和水费记录,30,True
390,水电燃气方面花了多少钱,16,True
391,家庭支出清单,15,True
392,国家电网电费多少钱,15,True
393,最近的家庭支出记录,16,True
394,话费账单明细,14,True
395,2026年4月水电燃气支出,16,True
396,物业费是多少,15,True
397,燃气费账单,15,True
398,家庭月度开销汇总,16,True
399,电费和水费记录,15,True
400,水电燃气方面花了多少钱,15,True
401,家庭支出清单,30,True
402,国家电网电费多少钱,16,True
403,最近的家庭支出记录,15,True
404,话费账单明细,15,True
405,2026年4月水电燃气支出,16,True
406,物业费是多少,15,True
407,燃气费账单,15,True
408,家庭月度开销汇总,16,True
409,电费和水费记录,14,True
410,水电燃气方面花了多少钱,16,True
411,家庭支出清单,15,True
412,国家电网电费多少钱,15,True
413,最近的家庭支出记录,16,True
414,话费账单明细,15,True
415,2026年4月水电燃气支出,15,True
416,物业费是多少,16,True
417,燃气费账单,14,True
418,家庭月度开销汇总,16,True
419,电费和水费记录,15,True
420,水电燃气方面花了多少钱,15,True
421,家庭支出清单,16,True
422,国家电网电费多少钱,30,True
423,最近的家庭支出记录,16,True
424,话费账单明细,0,True
425,2026年4月水电燃气支出,30,True
426,物业费是多少,15,True
427,燃气费账单,15,True
428,家庭月度开销汇总,16,True
429,电费和水费记录,15,True
430,水电燃气方面花了多少钱,15,True
431,家庭支出清单,16,True
432,国家电网电费多少钱,30,True
433,最近的家庭支出记录,15,True
434,话费账单明细,15,True
435,2026年4月水电燃气支出,16,True
436,物业费是多少,15,True
437,燃气费账单,15,True
438,家庭月度开销汇总,16,True
439,电费和水费记录,14,True
440,水电燃气方面花了多少钱,16,True
441,家庭支出清单,15,True
442,国家电网电费多少钱,15,True
443,最近的家庭支出记录,16,True
444,话费账单明细,15,True
445,2026年4月水电燃气支出,31,True
446,物业费是多少,14,True
447,燃气费账单,16,True
448,家庭月度开销汇总,15,True
449,电费和水费记录,15,True
450,水电燃气方面花了多少钱,16,True
451,家庭支出清单,15,True
452,国家电网电费多少钱,15,True
453,最近的家庭支出记录,16,True
454,话费账单明细,14,True
455,2026年4月水电燃气支出,16,True
456,物业费是多少,15,True
457,燃气费账单,15,True
458,家庭月度开销汇总,31,True
459,电费和水费记录,15,True
460,水电燃气方面花了多少钱,16,True
461,家庭支出清单,14,True
462,国家电网电费多少钱,16,True
463,最近的家庭支出记录,15,True
464,话费账单明细,15,True
465,2026年4月水电燃气支出,16,True
466,物业费是多少,15,True
467,燃气费账单,15,True
468,家庭月度开销汇总,30,True
469,电费和水费记录,16,True
470,水电燃气方面花了多少钱,15,True
471,家庭支出清单,15,True
472,国家电网电费多少钱,16,True
473,最近的家庭支出记录,15,True
474,话费账单明细,15,True
475,2026年4月水电燃气支出,16,True
476,物业费是多少,14,True
477,燃气费账单,16,True
478,家庭月度开销汇总,30,True
479,电费和水费记录,16,True
480,水电燃气方面花了多少钱,15,True
481,家庭支出清单,15,True
482,国家电网电费多少钱,16,True
483,最近的家庭支出记录,14,True
484,话费账单明细,16,True
485,2026年4月水电燃气支出,15,True
486,物业费是多少,15,True
487,燃气费账单,16,True
488,家庭月度开销汇总,15,True
489,电费和水费记录,15,True
490,水电燃气方面花了多少钱,16,True
491,家庭支出清单,14,True
492,国家电网电费多少钱,16,True
493,最近的家庭支出记录,15,True
494,话费账单明细,31,True
495,2026年4月水电燃气支出,15,True
496,物业费是多少,15,True
497,燃气费账单,16,True
498,家庭月度开销汇总,14,True
499,电费和水费记录,16,True
500,水电燃气方面花了多少钱,15,True
501,家庭支出清单,15,True
502,国家电网电费多少钱,16,True
503,最近的家庭支出记录,15,True
504,话费账单明细,31,True
505,2026年4月水电燃气支出,14,True
506,物业费是多少,16,True
507,燃气费账单,15,True
508,家庭月度开销汇总,15,True
509,电费和水费记录,16,True
510,水电燃气方面花了多少钱,15,True
511,家庭支出清单,15,True
512,国家电网电费多少钱,16,True
513,最近的家庭支出记录,14,True
514,话费账单明细,16,True
515,2026年4月水电燃气支出,15,True
516,物业费是多少,15,True
517,燃气费账单,31,True
518,家庭月度开销汇总,15,True
519,电费和水费记录,16,True
520,水电燃气方面花了多少钱,14,True
521,家庭支出清单,16,True
522,国家电网电费多少钱,15,True
523,最近的家庭支出记录,15,True
524,话费账单明细,16,True
525,2026年4月水电燃气支出,15,True
526,物业费是多少,15,True
527,燃气费账单,16,True
528,家庭月度开销汇总,14,True
529,电费和水费记录,16,True
530,水电燃气方面花了多少钱,15,True
531,家庭支出清单,15,True
532,国家电网电费多少钱,31,True
533,最近的家庭支出记录,15,True
534,话费账单明细,16,True
535,2026年4月水电燃气支出,14,True
536,物业费是多少,16,True
537,燃气费账单,15,True
538,家庭月度开销汇总,15,True
539,电费和水费记录,16,True
540,水电燃气方面花了多少钱,15,True
541,家庭支出清单,15,True
542,国家电网电费多少钱,16,True
543,最近的家庭支出记录,14,True
544,话费账单明细,16,True
545,2026年4月水电燃气支出,15,True
546,物业费是多少,31,True
547,燃气费账单,15,True
548,家庭月度开销汇总,15,True
549,电费和水费记录,16,True
550,水电燃气方面花了多少钱,14,True
551,家庭支出清单,16,True
552,国家电网电费多少钱,15,True
553,最近的家庭支出记录,15,True
554,话费账单明细,16,True
555,2026年4月水电燃气支出,15,True
556,物业费是多少,31,True
557,燃气费账单,14,True
558,家庭月度开销汇总,16,True
559,电费和水费记录,15,True
560,水电燃气方面花了多少钱,15,True
561,家庭支出清单,31,True
562,国家电网电费多少钱,15,True
563,最近的家庭支出记录,16,True
564,话费账单明细,14,True
565,2026年4月水电燃气支出,16,True
566,物业费是多少,15,True
567,燃气费账单,15,True
568,家庭月度开销汇总,16,True
569,电费和水费记录,15,True
570,水电燃气方面花了多少钱,15,True
571,家庭支出清单,30,True
572,国家电网电费多少钱,16,True
573,最近的家庭支出记录,15,True
574,话费账单明细,15,True
575,2026年4月水电燃气支出,16,True
576,物业费是多少,15,True
577,燃气费账单,15,True
578,家庭月度开销汇总,16,True
579,电费和水费记录,14,True
580,水电燃气方面花了多少钱,16,True
581,家庭支出清单,30,True
582,国家电网电费多少钱,16,True
583,最近的家庭支出记录,15,True
584,话费账单明细,15,True
585,2026年4月水电燃气支出,16,True
586,物业费是多少,14,True
587,燃气费账单,16,True
588,家庭月度开销汇总,15,True
589,电费和水费记录,15,True
590,水电燃气方面花了多少钱,16,True
591,家庭支出清单,30,True
592,国家电网电费多少钱,16,True
593,最近的家庭支出记录,14,True
594,话费账单明细,16,True
595,2026年4月水电燃气支出,15,True
596,物业费是多少,15,True
597,燃气费账单,16,True
598,家庭月度开销汇总,15,True
599,电费和水费记录,15,True
600,水电燃气方面花了多少钱,16,True
601,家庭支出清单,14,True
602,国家电网电费多少钱,31,True
603,最近的家庭支出记录,15,True
604,话费账单明细,16,True
605,2026年4月水电燃气支出,15,True
606,物业费是多少,15,True
607,燃气费账单,16,True
608,家庭月度开销汇总,14,True
609,电费和水费记录,16,True
610,水电燃气方面花了多少钱,15,True
611,家庭支出清单,31,True
612,国家电网电费多少钱,15,True
613,最近的家庭支出记录,15,True
614,话费账单明细,16,True
615,2026年4月水电燃气支出,14,True
616,物业费是多少,16,True
617,燃气费账单,15,True
618,家庭月度开销汇总,15,True
619,电费和水费记录,16,True
620,水电燃气方面花了多少钱,15,True
621,家庭支出清单,15,True
622,国家电网电费多少钱,16,True
623,最近的家庭支出记录,14,True
624,话费账单明细,16,True
625,2026年4月水电燃气支出,15,True
626,物业费是多少,15,True
627,燃气费账单,16,True
628,家庭月度开销汇总,30,True
629,电费和水费记录,16,True
630,水电燃气方面花了多少钱,14,True
631,家庭支出清单,16,True
632,国家电网电费多少钱,15,True
633,最近的家庭支出记录,15,True
634,话费账单明细,16,True
635,2026年4月水电燃气支出,15,True
636,物业费是多少,15,True
637,燃气费账单,16,True
638,家庭月度开销汇总,14,True
639,电费和水费记录,16,True
640,水电燃气方面花了多少钱,30,True
641,家庭支出清单,16,True
642,国家电网电费多少钱,15,True
643,最近的家庭支出记录,15,True
644,话费账单明细,16,True
645,2026年4月水电燃气支出,14,True
646,物业费是多少,16,True
647,燃气费账单,15,True
648,家庭月度开销汇总,15,True
649,电费和水费记录,16,True
650,水电燃气方面花了多少钱,15,True
651,家庭支出清单,15,True
652,国家电网电费多少钱,30,True
653,最近的家庭支出记录,16,True
654,话费账单明细,15,True
655,2026年4月水电燃气支出,15,True
656,物业费是多少,16,True
657,燃气费账单,15,True
658,家庭月度开销汇总,15,True
659,电费和水费记录,16,True
660,水电燃气方面花了多少钱,14,True
661,家庭支出清单,31,True
662,国家电网电费多少钱,15,True
663,最近的家庭支出记录,16,True
664,话费账单明细,15,True
665,2026年4月水电燃气支出,15,True
666,物业费是多少,16,True
667,燃气费账单,14,True
668,家庭月度开销汇总,16,True
669,电费和水费记录,15,True
670,水电燃气方面花了多少钱,31,True
671,家庭支出清单,15,True
672,国家电网电费多少钱,15,True
673,最近的家庭支出记录,16,True
674,话费账单明细,14,True
675,2026年4月水电燃气支出,16,True
676,物业费是多少,15,True
677,燃气费账单,15,True
678,家庭月度开销汇总,16,True
679,电费和水费记录,15,True
680,水电燃气方面花了多少钱,15,True
681,家庭支出清单,30,True
682,国家电网电费多少钱,16,True
683,最近的家庭支出记录,15,True
684,话费账单明细,15,True
685,2026年4月水电燃气支出,16,True
686,物业费是多少,15,True
687,燃气费账单,15,True
688,家庭月度开销汇总,16,True
689,电费和水费记录,30,True
690,水电燃气方面花了多少钱,15,True
691,家庭支出清单,15,True
692,国家电网电费多少钱,16,True
693,最近的家庭支出记录,15,True
694,话费账单明细,15,True
695,2026年4月水电燃气支出,16,True
696,物业费是多少,14,True
697,燃气费账单,16,True
698,家庭月度开销汇总,15,True
699,电费和水费记录,31,True
700,水电燃气方面花了多少钱,15,True
701,家庭支出清单,15,True
702,国家电网电费多少钱,16,True
703,最近的家庭支出记录,14,True
704,话费账单明细,16,True
705,2026年4月水电燃气支出,15,True
706,物业费是多少,31,True
707,燃气费账单,15,True
708,家庭月度开销汇总,15,True
709,电费和水费记录,16,True
710,水电燃气方面花了多少钱,14,True
711,家庭支出清单,16,True
712,国家电网电费多少钱,15,True
713,最近的家庭支出记录,15,True
714,话费账单明细,16,True
715,2026年4月水电燃气支出,15,True
716,物业费是多少,15,True
717,燃气费账单,30,True
718,家庭月度开销汇总,16,True
719,电费和水费记录,15,True
720,水电燃气方面花了多少钱,15,True
721,家庭支出清单,16,True
722,国家电网电费多少钱,15,True
723,最近的家庭支出记录,15,True
724,话费账单明细,30,True
725,2026年4月水电燃气支出,16,True
726,物业费是多少,15,True
727,燃气费账单,15,True
728,家庭月度开销汇总,16,True
729,电费和水费记录,15,True
730,水电燃气方面花了多少钱,15,True
731,家庭支出清单,16,True
732,国家电网电费多少钱,30,True
733,最近的家庭支出记录,15,True
734,话费账单明细,15,True
735,2026年4月水电燃气支出,16,True
736,物业费是多少,15,True
737,燃气费账单,15,True
738,家庭月度开销汇总,16,True
739,电费和水费记录,14,True
740,水电燃气方面花了多少钱,16,True
741,家庭支出清单,15,True
742,国家电网电费多少钱,15,True
743,最近的家庭支出记录,16,True
744,话费账单明细,15,True
745,2026年4月水电燃气支出,15,True
746,物业费是多少,30,True
747,燃气费账单,16,True
748,家庭月度开销汇总,15,True
749,电费和水费记录,15,True
750,水电燃气方面花了多少钱,16,True
751,家庭支出清单,15,True
752,国家电网电费多少钱,15,True
753,最近的家庭支出记录,16,True
754,话费账单明细,14,True
755,2026年4月水电燃气支出,16,True
756,物业费是多少,15,True
757,燃气费账单,15,True
758,家庭月度开销汇总,16,True
759,电费和水费记录,15,True
760,水电燃气方面花了多少钱,15,True
761,家庭支出清单,16,True
762,国家电网电费多少钱,16,True
763,最近的家庭支出记录,15,True
764,话费账单明细,15,True
765,2026年4月水电燃气支出,16,True
766,物业费是多少,15,True
767,燃气费账单,15,True
768,家庭月度开销汇总,16,True
769,电费和水费记录,14,True
770,水电燃气方面花了多少钱,16,True
771,家庭支出清单,15,True
772,国家电网电费多少钱,15,True
773,最近的家庭支出记录,16,True
774,话费账单明细,15,True
775,2026年4月水电燃气支出,31,True
776,物业费是多少,14,True
777,燃气费账单,16,True
778,家庭月度开销汇总,15,True
779,电费和水费记录,15,True
780,水电燃气方面花了多少钱,16,True
781,家庭支出清单,15,True
782,国家电网电费多少钱,15,True
783,最近的家庭支出记录,16,True
784,话费账单明细,14,True
785,2026年4月水电燃气支出,31,True
786,物业费是多少,15,True
787,燃气费账单,16,True
788,家庭月度开销汇总,15,True
789,电费和水费记录,15,True
790,水电燃气方面花了多少钱,16,True
791,家庭支出清单,14,True
792,国家电网电费多少钱,16,True
793,最近的家庭支出记录,15,True
794,话费账单明细,15,True
795,2026年4月水电燃气支出,16,True
796,物业费是多少,15,True
797,燃气费账单,31,True
798,家庭月度开销汇总,14,True
799,电费和水费记录,16,True
800,水电燃气方面花了多少钱,15,True
801,家庭支出清单,15,True
802,国家电网电费多少钱,16,True
803,最近的家庭支出记录,15,True
804,话费账单明细,15,True
805,2026年4月水电燃气支出,30,True
806,物业费是多少,16,True
807,燃气费账单,15,True
808,家庭月度开销汇总,15,True
809,电费和水费记录,16,True
810,水电燃气方面花了多少钱,15,True
811,家庭支出清单,15,True
812,国家电网电费多少钱,16,True
813,最近的家庭支出记录,30,True
814,话费账单明细,15,True
815,2026年4月水电燃气支出,15,True
816,物业费是多少,16,True
817,燃气费账单,15,True
818,家庭月度开销汇总,15,True
819,电费和水费记录,16,True
820,水电燃气方面花了多少钱,14,True
821,家庭支出清单,16,True
822,国家电网电费多少钱,15,True
823,最近的家庭支出记录,15,True
824,话费账单明细,16,True
825,2026年4月水电燃气支出,15,True
826,物业费是多少,15,True
827,燃气费账单,30,True
828,家庭月度开销汇总,16,True
829,电费和水费记录,15,True
830,水电燃气方面花了多少钱,15,True
831,家庭支出清单,16,True
832,国家电网电费多少钱,15,True
833,最近的家庭支出记录,15,True
834,话费账单明细,16,True
835,2026年4月水电燃气支出,14,True
836,物业费是多少,16,True
837,燃气费账单,30,True
838,家庭月度开销汇总,16,True
839,电费和水费记录,15,True
840,水电燃气方面花了多少钱,15,True
841,家庭支出清单,16,True
842,国家电网电费多少钱,14,True
843,最近的家庭支出记录,16,True
844,话费账单明细,15,True
845,2026年4月水电燃气支出,15,True
846,物业费是多少,16,True
847,燃气费账单,15,True
848,家庭月度开销汇总,15,True
849,电费和水费记录,16,True
850,水电燃气方面花了多少钱,30,True
851,家庭支出清单,15,True
852,国家电网电费多少钱,15,True
853,最近的家庭支出记录,16,True
854,话费账单明细,15,True
855,2026年4月水电燃气支出,15,True
856,物业费是多少,16,True
857,燃气费账单,14,True
858,家庭月度开销汇总,16,True
859,电费和水费记录,15,True
860,水电燃气方面花了多少钱,31,True
861,家庭支出清单,15,True
862,国家电网电费多少钱,15,True
863,最近的家庭支出记录,16,True
864,话费账单明细,14,True
865,2026年4月水电燃气支出,16,True
866,物业费是多少,15,True
867,燃气费账单,15,True
868,家庭月度开销汇总,16,True
869,电费和水费记录,15,True
870,水电燃气方面花了多少钱,15,True
871,家庭支出清单,30,True
872,国家电网电费多少钱,16,True
873,最近的家庭支出记录,15,True
874,话费账单明细,15,True
875,2026年4月水电燃气支出,16,True
876,物业费是多少,15,True
877,燃气费账单,15,True
878,家庭月度开销汇总,16,True
879,电费和水费记录,14,True
880,水电燃气方面花了多少钱,16,True
881,家庭支出清单,15,True
882,国家电网电费多少钱,15,True
883,最近的家庭支出记录,16,True
884,话费账单明细,15,True
885,2026年4月水电燃气支出,15,True
886,物业费是多少,16,True
887,燃气费账单,14,True
888,家庭月度开销汇总,31,True
889,电费和水费记录,15,True
